----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 56, 128, 128]           1,512
       BatchNorm2d-2         [-1, 56, 128, 128]             112
              SiLU-3         [-1, 56, 128, 128]               0
            Conv2d-4         [-1, 56, 128, 128]             504
       BatchNorm2d-5         [-1, 56, 128, 128]             112
              SiLU-6         [-1, 56, 128, 128]               0
 AdaptiveAvgPool2d-7             [-1, 56, 1, 1]               0
            Conv2d-8             [-1, 14, 1, 1]             798
              SiLU-9             [-1, 14, 1, 1]               0
           Conv2d-10             [-1, 56, 1, 1]             840
          Sigmoid-11             [-1, 56, 1, 1]               0
SqueezeExcitation-12         [-1, 56, 128, 128]               0
           Conv2d-13         [-1, 32, 128, 128]           1,792
      BatchNorm2d-14         [-1, 32, 128, 128]              64
           MBConv-15         [-1, 32, 128, 128]               0
           Conv2d-16         [-1, 32, 128, 128]             288
      BatchNorm2d-17         [-1, 32, 128, 128]              64
             SiLU-18         [-1, 32, 128, 128]               0
AdaptiveAvgPool2d-19             [-1, 32, 1, 1]               0
           Conv2d-20              [-1, 8, 1, 1]             264
             SiLU-21              [-1, 8, 1, 1]               0
           Conv2d-22             [-1, 32, 1, 1]             288
          Sigmoid-23             [-1, 32, 1, 1]               0
SqueezeExcitation-24         [-1, 32, 128, 128]               0
           Conv2d-25         [-1, 32, 128, 128]           1,024
      BatchNorm2d-26         [-1, 32, 128, 128]              64
  StochasticDepth-27         [-1, 32, 128, 128]               0
           MBConv-28         [-1, 32, 128, 128]               0
           Conv2d-29         [-1, 32, 128, 128]             288
      BatchNorm2d-30         [-1, 32, 128, 128]              64
             SiLU-31         [-1, 32, 128, 128]               0
AdaptiveAvgPool2d-32             [-1, 32, 1, 1]               0
           Conv2d-33              [-1, 8, 1, 1]             264
             SiLU-34              [-1, 8, 1, 1]               0
           Conv2d-35             [-1, 32, 1, 1]             288
          Sigmoid-36             [-1, 32, 1, 1]               0
SqueezeExcitation-37         [-1, 32, 128, 128]               0
           Conv2d-38         [-1, 32, 128, 128]           1,024
      BatchNorm2d-39         [-1, 32, 128, 128]              64
  StochasticDepth-40         [-1, 32, 128, 128]               0
           MBConv-41         [-1, 32, 128, 128]               0
           Conv2d-42        [-1, 192, 128, 128]           6,144
      BatchNorm2d-43        [-1, 192, 128, 128]             384
             SiLU-44        [-1, 192, 128, 128]               0
           Conv2d-45          [-1, 192, 64, 64]           1,728
      BatchNorm2d-46          [-1, 192, 64, 64]             384
             SiLU-47          [-1, 192, 64, 64]               0
AdaptiveAvgPool2d-48            [-1, 192, 1, 1]               0
           Conv2d-49              [-1, 8, 1, 1]           1,544
             SiLU-50              [-1, 8, 1, 1]               0
           Conv2d-51            [-1, 192, 1, 1]           1,728
          Sigmoid-52            [-1, 192, 1, 1]               0
SqueezeExcitation-53          [-1, 192, 64, 64]               0
           Conv2d-54           [-1, 40, 64, 64]           7,680
      BatchNorm2d-55           [-1, 40, 64, 64]              80
           MBConv-56           [-1, 40, 64, 64]               0
           Conv2d-57          [-1, 240, 64, 64]           9,600
      BatchNorm2d-58          [-1, 240, 64, 64]             480
             SiLU-59          [-1, 240, 64, 64]               0
           Conv2d-60          [-1, 240, 64, 64]           2,160
      BatchNorm2d-61          [-1, 240, 64, 64]             480
             SiLU-62          [-1, 240, 64, 64]               0
AdaptiveAvgPool2d-63            [-1, 240, 1, 1]               0
           Conv2d-64             [-1, 10, 1, 1]           2,410
             SiLU-65             [-1, 10, 1, 1]               0
           Conv2d-66            [-1, 240, 1, 1]           2,640
          Sigmoid-67            [-1, 240, 1, 1]               0
SqueezeExcitation-68          [-1, 240, 64, 64]               0
           Conv2d-69           [-1, 40, 64, 64]           9,600
      BatchNorm2d-70           [-1, 40, 64, 64]              80
  StochasticDepth-71           [-1, 40, 64, 64]               0
           MBConv-72           [-1, 40, 64, 64]               0
           Conv2d-73          [-1, 240, 64, 64]           9,600
      BatchNorm2d-74          [-1, 240, 64, 64]             480
             SiLU-75          [-1, 240, 64, 64]               0
           Conv2d-76          [-1, 240, 64, 64]           2,160
      BatchNorm2d-77          [-1, 240, 64, 64]             480
             SiLU-78          [-1, 240, 64, 64]               0
AdaptiveAvgPool2d-79            [-1, 240, 1, 1]               0
           Conv2d-80             [-1, 10, 1, 1]           2,410
             SiLU-81             [-1, 10, 1, 1]               0
           Conv2d-82            [-1, 240, 1, 1]           2,640
          Sigmoid-83            [-1, 240, 1, 1]               0
SqueezeExcitation-84          [-1, 240, 64, 64]               0
           Conv2d-85           [-1, 40, 64, 64]           9,600
      BatchNorm2d-86           [-1, 40, 64, 64]              80
  StochasticDepth-87           [-1, 40, 64, 64]               0
           MBConv-88           [-1, 40, 64, 64]               0
           Conv2d-89          [-1, 240, 64, 64]           9,600
      BatchNorm2d-90          [-1, 240, 64, 64]             480
             SiLU-91          [-1, 240, 64, 64]               0
           Conv2d-92          [-1, 240, 64, 64]           2,160
      BatchNorm2d-93          [-1, 240, 64, 64]             480
             SiLU-94          [-1, 240, 64, 64]               0
AdaptiveAvgPool2d-95            [-1, 240, 1, 1]               0
           Conv2d-96             [-1, 10, 1, 1]           2,410
             SiLU-97             [-1, 10, 1, 1]               0
           Conv2d-98            [-1, 240, 1, 1]           2,640
          Sigmoid-99            [-1, 240, 1, 1]               0
SqueezeExcitation-100          [-1, 240, 64, 64]               0
          Conv2d-101           [-1, 40, 64, 64]           9,600
     BatchNorm2d-102           [-1, 40, 64, 64]              80
 StochasticDepth-103           [-1, 40, 64, 64]               0
          MBConv-104           [-1, 40, 64, 64]               0
          Conv2d-105          [-1, 240, 64, 64]           9,600
     BatchNorm2d-106          [-1, 240, 64, 64]             480
            SiLU-107          [-1, 240, 64, 64]               0
          Conv2d-108          [-1, 240, 64, 64]           2,160
     BatchNorm2d-109          [-1, 240, 64, 64]             480
            SiLU-110          [-1, 240, 64, 64]               0
AdaptiveAvgPool2d-111            [-1, 240, 1, 1]               0
          Conv2d-112             [-1, 10, 1, 1]           2,410
            SiLU-113             [-1, 10, 1, 1]               0
          Conv2d-114            [-1, 240, 1, 1]           2,640
         Sigmoid-115            [-1, 240, 1, 1]               0
SqueezeExcitation-116          [-1, 240, 64, 64]               0
          Conv2d-117           [-1, 40, 64, 64]           9,600
     BatchNorm2d-118           [-1, 40, 64, 64]              80
 StochasticDepth-119           [-1, 40, 64, 64]               0
          MBConv-120           [-1, 40, 64, 64]               0
          Conv2d-121          [-1, 240, 64, 64]           9,600
     BatchNorm2d-122          [-1, 240, 64, 64]             480
            SiLU-123          [-1, 240, 64, 64]               0
          Conv2d-124          [-1, 240, 64, 64]           2,160
     BatchNorm2d-125          [-1, 240, 64, 64]             480
            SiLU-126          [-1, 240, 64, 64]               0
AdaptiveAvgPool2d-127            [-1, 240, 1, 1]               0
          Conv2d-128             [-1, 10, 1, 1]           2,410
            SiLU-129             [-1, 10, 1, 1]               0
          Conv2d-130            [-1, 240, 1, 1]           2,640
         Sigmoid-131            [-1, 240, 1, 1]               0
SqueezeExcitation-132          [-1, 240, 64, 64]               0
          Conv2d-133           [-1, 40, 64, 64]           9,600
     BatchNorm2d-134           [-1, 40, 64, 64]              80
 StochasticDepth-135           [-1, 40, 64, 64]               0
          MBConv-136           [-1, 40, 64, 64]               0
          Conv2d-137          [-1, 240, 64, 64]           9,600
     BatchNorm2d-138          [-1, 240, 64, 64]             480
            SiLU-139          [-1, 240, 64, 64]               0
          Conv2d-140          [-1, 240, 32, 32]           6,000
     BatchNorm2d-141          [-1, 240, 32, 32]             480
            SiLU-142          [-1, 240, 32, 32]               0
AdaptiveAvgPool2d-143            [-1, 240, 1, 1]               0
          Conv2d-144             [-1, 10, 1, 1]           2,410
            SiLU-145             [-1, 10, 1, 1]               0
          Conv2d-146            [-1, 240, 1, 1]           2,640
         Sigmoid-147            [-1, 240, 1, 1]               0
SqueezeExcitation-148          [-1, 240, 32, 32]               0
          Conv2d-149           [-1, 72, 32, 32]          17,280
     BatchNorm2d-150           [-1, 72, 32, 32]             144
          MBConv-151           [-1, 72, 32, 32]               0
          Conv2d-152          [-1, 432, 32, 32]          31,104
     BatchNorm2d-153          [-1, 432, 32, 32]             864
            SiLU-154          [-1, 432, 32, 32]               0
          Conv2d-155          [-1, 432, 32, 32]          10,800
     BatchNorm2d-156          [-1, 432, 32, 32]             864
            SiLU-157          [-1, 432, 32, 32]               0
AdaptiveAvgPool2d-158            [-1, 432, 1, 1]               0
          Conv2d-159             [-1, 18, 1, 1]           7,794
            SiLU-160             [-1, 18, 1, 1]               0
          Conv2d-161            [-1, 432, 1, 1]           8,208
         Sigmoid-162            [-1, 432, 1, 1]               0
SqueezeExcitation-163          [-1, 432, 32, 32]               0
          Conv2d-164           [-1, 72, 32, 32]          31,104
     BatchNorm2d-165           [-1, 72, 32, 32]             144
 StochasticDepth-166           [-1, 72, 32, 32]               0
          MBConv-167           [-1, 72, 32, 32]               0
          Conv2d-168          [-1, 432, 32, 32]          31,104
     BatchNorm2d-169          [-1, 432, 32, 32]             864
            SiLU-170          [-1, 432, 32, 32]               0
          Conv2d-171          [-1, 432, 32, 32]          10,800
     BatchNorm2d-172          [-1, 432, 32, 32]             864
            SiLU-173          [-1, 432, 32, 32]               0
AdaptiveAvgPool2d-174            [-1, 432, 1, 1]               0
          Conv2d-175             [-1, 18, 1, 1]           7,794
            SiLU-176             [-1, 18, 1, 1]               0
          Conv2d-177            [-1, 432, 1, 1]           8,208
         Sigmoid-178            [-1, 432, 1, 1]               0
SqueezeExcitation-179          [-1, 432, 32, 32]               0
          Conv2d-180           [-1, 72, 32, 32]          31,104
     BatchNorm2d-181           [-1, 72, 32, 32]             144
 StochasticDepth-182           [-1, 72, 32, 32]               0
          MBConv-183           [-1, 72, 32, 32]               0
          Conv2d-184          [-1, 432, 32, 32]          31,104
     BatchNorm2d-185          [-1, 432, 32, 32]             864
            SiLU-186          [-1, 432, 32, 32]               0
          Conv2d-187          [-1, 432, 32, 32]          10,800
     BatchNorm2d-188          [-1, 432, 32, 32]             864
            SiLU-189          [-1, 432, 32, 32]               0
AdaptiveAvgPool2d-190            [-1, 432, 1, 1]               0
          Conv2d-191             [-1, 18, 1, 1]           7,794
            SiLU-192             [-1, 18, 1, 1]               0
          Conv2d-193            [-1, 432, 1, 1]           8,208
         Sigmoid-194            [-1, 432, 1, 1]               0
SqueezeExcitation-195          [-1, 432, 32, 32]               0
          Conv2d-196           [-1, 72, 32, 32]          31,104
     BatchNorm2d-197           [-1, 72, 32, 32]             144
 StochasticDepth-198           [-1, 72, 32, 32]               0
          MBConv-199           [-1, 72, 32, 32]               0
          Conv2d-200          [-1, 432, 32, 32]          31,104
